scenario,iteration,model,precision,context,fragmentation,decay_applied
E1,42,HyperGraph,1.0,1.0,0.0,0.8545824383655662
E1,43,BinaryGraph,1.0,1.0,0.0,0.8727898275651547
E1,43,HyperGraph,1.0,1.0,0.0,0.8727898275651547
E1,44,BinaryGraph,1.0,1.0,0.0,0.8789387963602107
E1,44,HyperGraph,1.0,1.0,0.0,0.8789387963602107
E1,45,BinaryGraph,1.0,1.0,0.0,0.8579791976923627
E1,45,HyperGraph,1.0,1.0,0.0,0.8579791976923627
E1,46,BinaryGraph,1.0,1.0,0.0,0.873279088636103
E1,46,HyperGraph,1.0,1.0,0.0,0.873279088636103
E1,47,BinaryGraph,1.0,1.0,0.0,0.8601001429409729
E1,47,HyperGraph,1.0,1.0,0.0,0.8601001429409729
E1,48,BinaryGraph,1.0,1.0,0.0,0.8777973603110092
E1,48,HyperGraph,1.0,1.0,0.0,0.8777973603110092
E1,49,BinaryGraph,1.0,1.0,0.0,0.91356844442644
E1,49,HyperGraph,1.0,1.0,0.0,0.91356844442644
E1,50,BinaryGraph,1.0,1.0,0.0,0.8864832178970083
E1,50,HyperGraph,1.0,1.0,0.0,0.8864832178970083
E1,51,BinaryGraph,1.0,1.0,0.0,0.8870180967116882
E1,51,HyperGraph,1.0,1.0,0.0,0.8870180967116882
E1,52,BinaryGraph,1.0,1.0,0.0,0.8709507030771487
E1,52,HyperGraph,1.0,1.0,0.0,0.8709507030771487
E1,53,BinaryGraph,1.0,1.0,0.0,0.8766977822049113
E1,53,HyperGraph,1.0,1.0,0.0,0.8766977822049113
E1,54,BinaryGraph,1.0,1.0,0.0,0.9436654587712494
E1,54,HyperGraph,1.0,1.0,0.0,0.9436654587712494
E1,55,BinaryGraph,1.0,1.0,0.0,0.9148035385246593
E1,55,HyperGraph,1.0,1.0,0.0,0.9148035385246593
E1,56,BinaryGraph,1.0,1.0,0.0,0.9109131005666988
E1,56,HyperGraph,1.0,1.0,0.0,0.9109131005666988
E1,57,BinaryGraph,1.0,1.0,0.0,0.8671138648198097
E1,57,HyperGraph,1.0,1.0,0.0,0.8671138648198097
E1,58,BinaryGraph,1.0,1.0,0.0,0.9229126797950349
E1,58,HyperGraph,1.0,1.0,0.0,0.9229126797950349
E1,59,BinaryGraph,1.0,1.0,0.0,0.8663402493761928
E1,59,HyperGraph,1.0,1.0,0.0,0.8663402493761928
E1,60,BinaryGraph,1.0,1.0,0.0,0.8879455441757648
E1,60,HyperGraph,1.0,1.0,0.0,0.8879455441757648
E1,61,BinaryGraph,1.0,1.0,0.0,0.9489523350636595
E1,61,HyperGraph,1.0,1.0,0.0,0.9489523350636595
E1,62,BinaryGraph,1.0,1.0,0.0,0.9139999759854093
E1,62,HyperGraph,1.0,1.0,0.0,0.9139999759854093
E1,63,BinaryGraph,1.0,1.0,0.0,0.9056949743774646
E1,63,HyperGraph,1.0,1.0,0.0,0.9056949743774646
E1,64,BinaryGraph,1.0,1.0,0.0,0.9184614250989874
E1,64,HyperGraph,1.0,1.0,0.0,0.9184614250989874
E1,65,BinaryGraph,1.0,1.0,0.0,0.934285192018981
E1,65,HyperGraph,1.0,1.0,0.0,0.934285192018981
E1,66,BinaryGraph,1.0,1.0,0.0,0.9275999911546244
E1,66,HyperGraph,1.0,1.0,0.0,0.9275999911546244
E1,67,BinaryGraph,1.0,1.0,0.0,0.8729048071964104
E1,67,HyperGraph,1.0,1.0,0.0,0.8729048071964104
E1,68,BinaryGraph,1.0,1.0,0.0,0.8532100243904037
E1,68,HyperGraph,1.0,1.0,0.0,0.8532100243904037
E1,69,BinaryGraph,1.0,1.0,0.0,0.8815453048059082
E1,69,HyperGraph,1.0,1.0,0.0,0.8815453048059082
E1,70,BinaryGraph,1.0,1.0,0.0,0.8767740875975703
E1,70,HyperGraph,1.0,1.0,0.0,0.8767740875975703
E1,71,BinaryGraph,1.0,1.0,0.0,0.8710982843586326
E1,71,HyperGraph,1.0,1.0,0.0,0.8710982843586326
E1,72,BinaryGraph,1.0,1.0,0.0,0.9442909714335054
E1,72,HyperGraph,1.0,1.0,0.0,0.9442909714335054
E1,73,BinaryGraph,1.0,1.0,0.0,0.9376367626472668
E1,73,HyperGraph,1.0,1.0,0.0,0.9376367626472668
E1,74,BinaryGraph,1.0,1.0,0.0,0.8814677880798477
E1,74,HyperGraph,1.0,1.0,0.0,0.8814677880798477
E1,75,BinaryGraph,1.0,1.0,0.0,0.9155438665294879
E1,75,HyperGraph,1.0,1.0,0.0,0.9155438665294879
E1,76,BinaryGraph,1.0,1.0,0.0,0.8895631901060664
E1,76,HyperGraph,1.0,1.0,0.0,0.8895631901060664
E1,77,BinaryGraph,1.0,1.0,0.0,0.9414547589740543
E1,77,HyperGraph,1.0,1.0,0.0,0.9414547589740543
E1,78,BinaryGraph,1.0,1.0,0.0,0.8958851852587398
E1,78,HyperGraph,1.0,1.0,0.0,0.8958851852587398
E1,79,BinaryGraph,1.0,1.0,0.0,0.8764880166498052
E1,79,HyperGraph,1.0,1.0,0.0,0.8764880166498052
E1,80,BinaryGraph,1.0,1.0,0.0,0.8746627507693984
E1,80,HyperGraph,1.0,1.0,0.0,0.8746627507693984
E1,81,BinaryGraph,1.0,1.0,0.0,0.906136813416315
E1,81,HyperGraph,1.0,1.0,0.0,0.906136813416315
E1,82,BinaryGraph,1.0,1.0,0.0,0.8762741608522935
E1,82,HyperGraph,1.0,1.0,0.0,0.8762741608522935
E1,83,BinaryGraph,1.0,1.0,0.0,0.908458599022354
E1,83,HyperGraph,1.0,1.0,0.0,0.908458599022354
E1,84,BinaryGraph,1.0,1.0,0.0,0.9397822883602477
E1,84,HyperGraph,1.0,1.0,0.0,0.9397822883602477
E1,85,BinaryGraph,1.0,1.0,0.0,0.8899400505140397
E1,85,HyperGraph,1.0,1.0,0.0,0.8899400505140397
E1,86,BinaryGraph,1.0,1.0,0.0,0.8719320759157283
E1,86,HyperGraph,1.0,1.0,0.0,0.8719320759157283
E1,87,BinaryGraph,1.0,1.0,0.0,0.949753760649511
E1,87,HyperGraph,1.0,1.0,0.0,0.949753760649511
E1,88,BinaryGraph,1.0,1.0,0.0,0.9009526293676464
E1,88,HyperGraph,1.0,1.0,0.0,0.9009526293676464
E1,89,BinaryGraph,1.0,1.0,0.0,0.8590909412173794
